timestamp,PGE,SCE,SDGE,VEA,CAISO
2014-01-01 00:00:00,10057,9862,2096,58,22073
2014-01-01 01:00:00,9707,9530,1986,59,21283
2014-01-01 02:00:00,9438,9200,1936,61,20635
2014-01-01 03:00:00,9309,9015,1896,64,20283
2014-01-01 04:00:00,9319,8987,1899,67,20271
2014-01-01 05:00:00,9389,9038,1922,71,20421
2014-01-01 06:00:00,9669,9128,2011,77,20886
2014-01-01 07:00:00,9802,8880,2055,79,20815
2014-01-01 08:00:00,9923,9033,2141,70,21167
2014-01-01 09:00:00,10026,9195,2250,61,21532
2014-01-01 10:00:00,10059,9339,2304,54,21756
2014-01-01 11:00:00,10237,9361,2301,48,21947
2014-01-01 12:00:00,10225,9379,2294,44,21941
2014-01-01 13:00:00,10229,9371,2262,41,21902
2014-01-01 14:00:00,10519,9409,2199,39,22166
2014-01-01 15:00:00,10446,9539,2210,40,22234
2014-01-01 16:00:00,10495,10035,2326,45,22902
2014-01-01 17:00:00,11985,11532,2724,53,26294
2014-01-01 18:00:00,12309,11765,2773,55,26902
2014-01-01 19:00:00,12109,11665,2716,56,26545
2014-01-01 20:00:00,11837,11426,2627,56,25945
2014-01-01 21:00:00,11351,11080,2471,55,24957
2014-01-01 22:00:00,10562,10345,2255,54,23215
2014-01-01 23:00:00,9773,9596,2041,53,21463
2014-01-02 00:00:00,9467,9167,1904,53,20592
2014-01-02 01:00:00,9523,8840,1855,55,20273
2014-01-02 02:00:00,9476,8676,1815,57,20024
2014-01-02 03:00:00,9242,8684,1809,60,19795
2014-01-02 04:00:00,9316,8951,1832,64,20163
2014-01-02 05:00:00,9759,9604,1989,70,21423
2014-01-02 06:00:00,10672,10288,2228,78,23266
2014-01-02 07:00:00,11432,10703,2385,81,24601
2014-01-02 08:00:00,11732,11191,2503,74,25501
2014-01-02 09:00:00,11767,11479,2617,66,25930
2014-01-02 10:00:00,11735,11684,2667,57,26142
2014-01-02 11:00:00,11590,11714,2661,50,26014
2014-01-02 12:00:00,11439,11773,2655,44,25911
2014-01-02 13:00:00,11352,11708,2620,41,25721
2014-01-02 14:00:00,11319,11707,2544,39,25609
2014-01-02 15:00:00,11365,11702,2530,39,25636
2014-01-02 16:00:00,11737,11946,2595,44,26322
2014-01-02 17:00:00,13017,13088,2946,52,29103
2014-01-02 18:00:00,13239,13125,2963,54,29382
2014-01-02 19:00:00,12962,12844,2886,55,28747
2014-01-02 20:00:00,12579,12483,2777,56,27894
2014-01-02 21:00:00,11979,11929,2591,55,26554
2014-01-02 22:00:00,11207,11019,2340,54,24621
2014-01-02 23:00:00,10447,10187,2097,53,22783
2014-01-03 00:00:00,10053,9551,1934,53,21591
2014-01-03 01:00:00,9408,9154,1879,55,20495
2014-01-03 02:00:00,9209,8919,1829,57,20015
2014-01-03 03:00:00,9469,8852,1819,60,20200
2014-01-03 04:00:00,9394,9083,1878,65,20420
2014-01-03 05:00:00,9841,9584,1993,72,21490
2014-01-03 06:00:00,10725,10477,2225,79,23506
2014-01-03 07:00:00,11462,10854,2385,82,24783
2014-01-03 08:00:00,11802,11223,2504,73,25602
2014-01-03 09:00:00,11870,11555,2605,63,26092
2014-01-03 10:00:00,11781,11700,2652,55,26188
2014-01-03 11:00:00,11639,11674,2646,48,26006
